2001	01	20011
2001	02	20012
2001	03	20013
2001	04	20014
2001	05	20015
2001	06	20016
2002	01	20021
2002	02	20022
2002	03	20023
2002	04	20024
2002	05	20025
2002	06	20026
2003	01	20031
2003	02	20032
2003	03	20033
2003	04	20034
2003	05	20035
2003	06	20036
2004	01	20041
2004	02	20042
2004	03	20043
2004	04	20044
2004	05	20045
2004	06	20046
2005	01	20051
2005	02	20052
2005	03	20053
2005	04	20054
2005	05	20055
2005	06	20056
2006	01	20061
2006	02	20062
2006	03	20063
2006	04	20064
2006	05	20065
2006	06	20066
2007	01	20071
2007	02	20072
2007	03	20073
2007	04	20074
2007	05	20075
2008	01	20081
2008	02	20082
2008	03	20083
2008	04	20084
2008	05	20085
2008	06	20086
